BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202003,28,1715,202003,28,1725,146466,880150,IOWA,19,2020,March,Tornado,C,19,BUCHANAN,DVN,3/28/20 17:15,CST-6,3/28/20 17:25,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,7.38,50,,,,,3,NW,JESUP,3,SE,FAIRBANK,42.5086,-92.0809,42.6035,-92.0144,"A strong low pressure system tracked from southwest Iowa to north central Iowa Saturday afternoon. Storms developed, moved across a warm front, and four tornadoes touched down over eastern Iowa and northwest Illinois.  A few other storms brought small hail and damaging wind to portions of the region Saturday night.","A tornado touched down north of Jesup, Iowa about 615 PM CDT, March 28th. The tornado moved northeast and caused damage to outbuildings and a barn, and uprooted trees at a farmstead. The tornado was on the ground for about 10 minutes, and traveled a little more than 7 miles. The tornado was rated EF-1, with maximum winds around 90 mph.",CSV
202008,28,26,202008,28,27,151988,915260,SOUTH DAKOTA,46,2020,August,Tornado,C,77,KINGSBURY,FSD,8/28/20 00:26,CST-6,8/28/20 00:27,0,0,0,0,,33.00K,NWS Storm Survey,,,,,EFU,0.36,25,,,,,4,W,DE SMET MUNI ARPT,4,W,DE SMET MUNI ARPT,44.4357,-97.6567,44.435,-97.6494,A mid-level disturbance moving from Wyoming into South Dakota initiated late evening convection in an environment with around 2000 J/kg MLCAPE and deep-layer shear of around 50 knots.  Storms expanded and rapidly evolved into a large-scale bow echo.,"A tornado formed just southwest of the intersection of 203rd Street and 428th Avenue. |During a brief touchdown and eastward travel, damage was limited to crops, marked by ground scour noted on high-resolution satellite data. The tornado lifted around a quarter mile east of 428th Avenue. Crop damage is an estimate from insured losses. Information provided by the United States Department of Agriculture.",CSV
202006,9,1703,202006,9,1703,149314,900007,NEBRASKA,31,2020,June,Tornado,C,95,JEFFERSON,OAX,6/9/20 17:03,CST-6,6/9/20 17:03,0,0,0,0,,,Broadcast Media,,,,,EFU,0.1,1,,,,,2,SE,HEDRIX,2,SE,HEDRIX,40.16,-97.23,40.16,-97.23,A warm front moved north and produced a brief tornado and wind damage. A cold front quickly followed the warm front and let to several reports of 50+ mph non-thunderstorm winds.,Broadcast media reported a brief tornado near Fairbury.,CSV
202006,8,1853,202006,8,1854,148889,899643,NEBRASKA,31,2020,June,Tornado,C,41,CUSTER,LBF,6/8/20 18:53,CST-6,6/8/20 18:54,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EF0,0.01,10,,,,,3,S,ARNOLD,3,S,ARNOLD,41.38,-100.19,41.38,-100.19,A deep trough across the western U.S. caused strong low pressure to develop across the Central Plains. An associated cold front brought a round of strong to severe thunderstorms to the area.,A weak tornado observed.,CSV
202008,1,1542,202008,1,1543,152429,918096,TEXAS,48,2020,August,Tornado,C,355,NUECES,CRP,8/1/20 15:42,CST-6,8/1/20 15:43,0,0,0,0,0.00K,0.00K,Public,,,,,EF0,0.01,20,,,,,0,N,PETRONILA,0,N,PETRONILA,27.67,-97.63,27.67,-97.63,A weak landspout tornado occurred in Nueces County during the afternoon.,Video showed a landspout tornado occurred near Petronila via social media. The tornado occurred over open farmland and did not cause any damage.,CSV
202001,10,1034,202001,10,1037,144688,874056,OKLAHOMA,40,2020,January,Tornado,C,81,LINCOLN,OUN,1/10/20 10:34,CST-6,1/10/20 10:37,0,0,0,0,25.00K,0.00K,NWS Storm Survey,,,,,EF0,1.3,10,,,,,0,SW,PRAGUE,1,NNE,PRAGUE,35.4864,-96.6952,35.5013,-96.6814,A strong storm system brought an unseasonably warm and moist airmass into the area. Multiple reports of severe hail and flooding were received along with a tornado on the 10th.,"A small tornado developed on the west side of Prague, just south of US Highway 62 and about one-half mile west of US Highway 377. The tornado moved northeast across the west and north sides of Prague with the last damage observed just east of US-377 on the north edge of Prague. Surveillance video at the city library near the beginning of the path showed debris with a strong east wind that quickly became a west wind as the tornado passed by. A few homes received roof damage and a few sheds and other outbuildings were destroyed.",CSV
202001,10,1449,202001,10,1457,143960,867121,OKLAHOMA,40,2020,January,Tornado,C,21,CHEROKEE,TSA,1/10/20 14:49,CST-6,1/10/20 14:57,0,0,0,0,50.00K,0.00K,NWS Storm Survey,,,,,EF1,5.8,250,,,,,3,WNW,PETTIT,2,S,PARK HILL,35.7796,-95.0229,35.8369,-94.948,"A strong storm system and associated cold front moved into the Southern Plains on the 10th. Unseasonably warm and moist air spread northward from the Gulf of Mexico ahead of this system, resulting in weak to moderate instability developing across eastern Oklahoma and northwest Arkansas. This instability, combined with very strong wind fields and wind shear, resulted in organized severe thunderstorms. The strongest storms produced large hail up to golfball size, damaging wind, a tornado, and flash flooding.","This tornado damaged the roof of a permanent home and the roofs of two mobile homes, uprooted a number of trees, and damaged outbuildings. Based on this damage, maximum estimated wind in the tornado was 90 to 100 mph.",CSV
202001,10,1155,202001,10,1156,143960,874086,OKLAHOMA,40,2020,January,Tornado,C,97,MAYES,TSA,1/10/20 11:55,CST-6,1/10/20 11:56,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EFU,1,50,,,,,5,SE,MURPHY,5,ESE,MURPHY,36.0991,-95.1771,36.1163,-95.1659,"A strong storm system and associated cold front moved into the Southern Plains on the 10th. Unseasonably warm and moist air spread northward from the Gulf of Mexico ahead of this system, resulting in weak to moderate instability developing across eastern Oklahoma and northwest Arkansas. This instability, combined with very strong wind fields and wind shear, resulted in organized severe thunderstorms. The strongest storms produced large hail up to golfball size, damaging wind, a tornado, and flash flooding.","Storm chasers positioned in two different locations observed a brief tornado. The area where the tornado occurred was inaccessible by road, thus there was no known damage.",CSV
202001,10,2343,202001,10,2350,144368,866649,TEXAS,48,2020,January,Tornado,C,401,RUSK,SHV,1/10/20 23:43,CST-6,1/10/20 23:50,0,0,0,0,80.00K,0.00K,NWS Storm Survey,,,,,EF1,4.24,500,,,,,1,WSW,GLENFAWN,2,NW,SULPHUR SPGS,31.8968,-94.8427,31.9194,-94.7755,"An upper level longwave trough emerged out of the Intermountain West and into the Central and Southern Plains during the daytime and evening hours of January 10th. A strong southerly return flow commenced out ahead of the trough during the 8th-9th, allowing for unseasonably warm and humid conditions to advance northward across Southern Oklahoma, much of Central and Eastern Texas, as well as Louisiana, Arkansas, and the Lower Mississippi Valley. Meanwhile, an intensifying surface low pressure system and associated dry line developed along the Red River of North Texas into Southern Oklahoma during the afternoon hours, which spread east northeast across the Ark-La-Tex during the early morning hours on January 11th. With afternoon temperatures climbing into the mid 70s ahead of this trough, moderate instability developed across the broad warm sector, with very strong wind shear in place as large scale forcing increased ahead of the trough axis across East Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana. Thus, an axis of strong to severe showers and thunderstorms developed during the evening hours across Southeast Oklahoma, adjacent sections of Southwest Arkansas and East Texas, which advanced east into North Louisiana during the early morning hours of the 11th. Damaging winds downed trees and power lines across portions of East Texas, with even multiple tornadoes touching down along the line of severe thunderstorms. Unfortunately, a man  was killed when a tornado touched down west of Nacogdoches and a tree fell on his mobile home. These storms also produced locally heavy rainfall, with amounts of one to three inches, with isolated higher amounts up to four inches recorded across much of this area, resulting in isolated instances of flash flooding. These storms continued to intensify during the late evening and early morning hours as they moved into extreme Eastern Texas and Western Louisiana, producing more in the way of widespread wind damage and isolated tornadoes.","An EF-1 tornado with estimated maximum winds near 110 mph touched down along Highway 84 near the intersection of County Road 4234 west of Mount Enterprise, snapping and uprooting a few trees. The tornado continued eastward roughly along Highway 84, intensifying and snapping numerous trees in the Reagan Branch bottom, just west of the Farm to Market Road 225 intersection. It continued east-northeast snapping and uprooting trees as it crossed County Roads 3223, 3226, and 3206. Several farm outbuildings were tossed and completely destroyed along County Road 3206, with two residences sustaining roof damage, before the tornado lifted just northeast of the intersection of County Road 3206 and 3166.",CSV
202001,10,2353,202001,10,2354,144368,866656,TEXAS,48,2020,January,Tornado,C,5,ANGELINA,SHV,1/10/20 23:53,CST-6,1/10/20 23:54,0,0,0,0,60.00K,0.00K,NWS Storm Survey,,,,,EF1,0.31,150,,,,,2,ESE,POLLOK,3,E,POLLOK,31.4619,-94.8401,31.4638,-94.8354,"An upper level longwave trough emerged out of the Intermountain West and into the Central and Southern Plains during the daytime and evening hours of January 10th. A strong southerly return flow commenced out ahead of the trough during the 8th-9th, allowing for unseasonably warm and humid conditions to advance northward across Southern Oklahoma, much of Central and Eastern Texas, as well as Louisiana, Arkansas, and the Lower Mississippi Valley. Meanwhile, an intensifying surface low pressure system and associated dry line developed along the Red River of North Texas into Southern Oklahoma during the afternoon hours, which spread east northeast across the Ark-La-Tex during the early morning hours on January 11th. With afternoon temperatures climbing into the mid 70s ahead of this trough, moderate instability developed across the broad warm sector, with very strong wind shear in place as large scale forcing increased ahead of the trough axis across East Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana. Thus, an axis of strong to severe showers and thunderstorms developed during the evening hours across Southeast Oklahoma, adjacent sections of Southwest Arkansas and East Texas, which advanced east into North Louisiana during the early morning hours of the 11th. Damaging winds downed trees and power lines across portions of East Texas, with even multiple tornadoes touching down along the line of severe thunderstorms. Unfortunately, a man  was killed when a tornado touched down west of Nacogdoches and a tree fell on his mobile home. These storms also produced locally heavy rainfall, with amounts of one to three inches, with isolated higher amounts up to four inches recorded across much of this area, resulting in isolated instances of flash flooding. These storms continued to intensify during the late evening and early morning hours as they moved into extreme Eastern Texas and Western Louisiana, producing more in the way of widespread wind damage and isolated tornadoes.","An EF-1 tornado with estimated maximum winds near 90 mph touched down in a forested area off of Rifle Road, where it snapped several large branches. It then snapped four trees and snapped additional limbs on several nearby trees. The tornado then hit a double-wide manufactured home, lifting it up a few feet and shifting it off of its foundation. The tornado also flipped a trailer and snapped four more trees before lifting.",CSV
