BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_SIZE,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200004,20,659,200004,20,659,1093323,5139144,ILLINOIS,17,2000,April,Tornado,C,117,MACOUPIN,LSX,4/20/00 06:59,CST,4/20/00 06:59,0,0,0,0,25K,,TRAINED SPOTTER,,,,,EF1,1,30,30,,,,,1,N,SHIPMAN,1,N,SHIPMAN,39.13,-90.05,39.13,-90.05,,A small tornado (low end of F1) struck briefly near Shipman. Two farm buildings were destroyed and some trees and power lines were downed.  The tornado was witnessed by several people driving to work  that morning.,PDC
200004,20,830,200004,20,840,1093928,5141936,ILLINOIS,17,2000,April,Tornado,C,115,MACON,ILX,4/20/00 08:30,CST,4/20/00 08:40,0,0,0,0,,,NWS STORM SURVEY,,,,,EF1,2.3,150,345,,,,,2,NE,OREANA,,,ARGENTA,39.95,-88.85,39.98,-88.82,,"The tornado touched down 1.8 miles northeast of Oreana, just east of Route 48.  It moved to the northeast along Route 48, entering Argenta.  The most severe damage was in two areas.  The first was about 2 miles northeast of Oreana where the roof of a two story house was lifted off.  The second was on the southwest side of Argenta, where part of the roof of a two story brick building was lifted off and placed on top of a lower building roof.  Also, numerous trees, power poles, and power lines were blown down.  A garage was destroyed in Argenta.  No injuries were reported.",PDC
200004,20,905,200004,20,909,1093928,5141937,ILLINOIS,17,2000,April,Tornado,C,147,PIATT,ILX,4/20/00 09:05,CST,4/20/00 09:09,0,0,0,0,,,LAW ENFORCEMENT,,,,,EF0,3.5,30,105,,,,,,,LODGE,2,NE,WHITE HEATH,40.1,-88.55,40.1,-88.48,,"A tornado made a series of touchdowns over a 3.5 mile path.  In Lodge, the tornado briefly touched down destroying a chimney on a house, then lifted and moved to the east.  It touched down one more time near the intersection of Route 10 and I-72 in a field.  No injuries were reported.",PDC
200004,20,805,200004,20,805,1093928,5141481,ILLINOIS,17,2000,April,Tornado,C,167,SANGAMON,ILX,4/20/00 08:05,CST,4/20/00 08:05,0,0,0,0,,,EMERGENCY MANAGER,,,,,EF0,0.3,20,6,,,,,1,S,ILLIOPOLIS,1,S,ILLIOPOLIS,40.4,-89.42,40.4,-89.42,,"A tornado briefly touched down one mile south of Illiopolis.  A porch on a home was damaged, a grain bin was damaged, and several power lines were blown down.  No injuries were reported.",PDC
200005,18,1500,200005,18,1500,1095836,5146593,ILLINOIS,17,2000,May,Tornado,C,11,BUREAU,DVN,5/18/00 15:00,CST,5/18/00 15:00,0,0,0,0,10K,,EMERGENCY MANAGER,,,,,EF0,0.1,10,1,,,,,,,NEPONSET,,,NEPONSET,41.3,-89.8,41.3,-89.8,"A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",,PDC
200005,18,1409,200005,18,1409,1095836,5146590,ILLINOIS,17,2000,May,Tornado,C,73,HENRY,DVN,5/18/00 14:09,CST,5/18/00 14:09,0,0,0,0,,,AMATEUR RADIO,,,,,EF0,0.1,10,1,,,,,3,S,GENESEO,3,S,GENESEO,41.4,-90.15,41.4,-90.15,"A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",,PDC
200004,20,800,200004,20,800,1093928,5141865,ILLINOIS,17,2000,April,Tornado,C,107,LOGAN,ILX,4/20/00 08:00,CST,4/20/00 08:00,0,0,0,0,0,0,EMERGENCY MANAGER,,,,,EF0,0.2,10,2,,,,,4,SW,LINCOLN,4,SW,LINCOLN,40.12,-89.42,40.12,-89.42,,A tornado touched down briefly in a field 4 miles southwest of Lincoln.  No damage was reported.,PDC
200005,18,1411,200005,18,1411,1095836,5146591,ILLINOIS,17,2000,May,Tornado,C,73,HENRY,DVN,5/18/00 14:11,CST,5/18/00 14:11,0,0,0,0,,,LAW ENFORCEMENT,,,,,EF0,0.1,10,1,,,,,2,N,WOODHULL,2,N,WOODHULL,41.22,-90.32,41.22,-90.32,"A frontal boundary meandering about Southern Iowa and Central Illinois lifted into Central Iowa and North Central Illinois by afternoon.  A nearly stacked low center over the Mid Missouri River Valley underwent filling as it shifted eastward across Southern Iowa and Central Illinois.  Much of Northern Illinois along and north of Interstate 88 was thrusted into the warm sector where temperatures climbed into the upper 70s to lower 80s.  Meanwhile, areas north of the boundary were quite cool with a brisk northeast surface wind and plenty of cloud cover keeping temperatures down in the 60s.  12z soundings from KILX and KDVN indicated very steep lapse rates with Cape values of 2000-3000 J-kg.  Thunderstorms quickly erupted along the boundary from Central Iowa through Northeast Iowa into Northern Illinois by late morning, and continued through the afternoon.  The storms produced large hail, heavy rain, damaging winds and several tornadoes over portions of Northwest Illinois.  Thunderstorm interaction with the frontal boundary was believed to be the culprit for spawning 6 weak and short lived tornadoes across Henry and Bureau Counties.  The only damage occurring with the tornadoes was in Manlius and Neponset where large trees and signs were blown down.  High winds, associated with a possible gustnado, blew down the back wall and knocked out several windows of an abandoned grocery store in Cambridge.  The glass and bricks were hurled to the ground, causing damage to a truck parked on one side of the building.  The high winds also downed several trees and power lines.  Power was knocked out to Cambridge and surrounding areas for almost 4 hours.",,PDC
200004,20,830,200004,20,831,1093928,5141869,ILLINOIS,17,2000,April,Tornado,C,115,MACON,ILX,4/20/00 08:30,CST,4/20/00 08:31,0,0,0,0,,,NWS STORM SURVEY,,,,,EF1,0.3,300,90,,,,,1,N,FORSYTH,1,N,FORSYTH,39.95,-88.95,39.95,-88.95,,"The tornado touched down west northwest of the intersection of Route 51 and County Route 20.  The tornado then crossed Route 51 moving to the northeast.  It damaged a couple of large oil pipeline storage tanks (put large dents in them), then the tornado weakened in an open field and dissipated.",PDC
200005,18,1812,200005,18,1814,1096601,5148944,ILLINOIS,17,2000,May,Tornado,C,107,LOGAN,ILX,5/18/00 18:12,CST,5/18/00 18:14,0,0,0,0,0,0,EMERGENCY MANAGER,,,,,EF0,2.5,20,50,,,,,3,N,BEASON,4,NE,BEASON,40.18,-89.2,40.18,-89.15,,A tornado touched down 3 miles north of Beason in a field and traveled to the east before lifting and dissipating 4 miles northeast of Beason.  No damage was reported.,PDC
