category_id,category_name,channel_id,country,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
24,Entertainment,UC-lHJZR3Gqxm24_Vd_AJ5Yw,United States,69896406,40297,,https://yt3.ggpht.com/a-/AN66SAztY6oYWZnS1Cae9o4_msEE1H83Tld5cFtl3Q=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,bitch lasagna,https://www.youtube.com/watch?v=6Dh-RL__uN4,3649
10,Music,UCq-Fj5jknLsUf-MWSy4_brA,India,69471946,38789,,https://yt3.ggpht.com/a-/AN66SAxPfKnfHAnAs0rOqaSwINOxDYJsyj-gPBP0OQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Guru Randhawa: GOLIMAAR Lyrical Video | Bhushan Kumar | Vee | T-Series,https://www.youtube.com/watch?v=nJ1f44JvlC8,12820
26,Howto & Style,UC295-Dw_tDNtZXFeAPAW6Aw,United States,40474509,42689,,https://yt3.ggpht.com/a-/AN66SAzCuCdsGXFCbf4rLBAhjeMMHFFysegG1-UhuA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,5-Minute Crafts compilation: This video is a treasure trove!,https://www.youtube.com/watch?v=YAjzcignrLU,2350
17,Sports,UCRijo3ddMTht_IHyNSNXpNQ,United States,36254032,39889,,https://yt3.ggpht.com/a-/AN66SAzyfBvNU5VU02qSkcq4Oh-UV9fi5WCoouFlLw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,Grocery Store Stereotypes,https://www.youtube.com/watch?v=5LZ_G8jRGHg,191
10,Music,UC0C-w0YjGpqDXGB8IHb662A,Great-Britain,35343953,38937,,https://yt3.ggpht.com/a-/AN66SAyqXY_gRt8dzeInCeBYca1CG0lRpFlFMZTR=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,Drop4Drop x Ed Sheeran,https://www.youtube.com/watch?v=-Q_51g4rij4,122
24,Entertainment,UCpEhnqL0y41EpW2TvWAHD7Q,India,35129616,38980,,https://yt3.ggpht.com/a-/AN66SAwH72nrAc2TDpi5fAgNQomUZA0AUbSsDdGROQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,SET India,"आपका स्वागत है मोनाली | एपिसोड 15 | 3 नवंबर, 2018 | कॉमेडी सर्कस | बेस्ट मोमेंट्स",https://www.youtube.com/watch?v=S2n__gI0Jsw,26985
24,Entertainment,UCp0hYYBW6IMayGgR-WeoCvQ,United States,29109479,39042,,https://yt3.ggpht.com/a-/AN66SAx8SlKLwMmVzpb98vzN_3NN7XAT-0AkAqMGbg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,Chrissy Teigen & Average Andy Go Through a Haunted House,https://www.youtube.com/watch?v=US9kiir_NqE,9426
24,Entertainment,UCcMTZY1rFXO3Rj44D5VMyiw,United States,12436269,38734,,https://yt3.ggpht.com/a-/AN66SAy5I5_a-Pa4CuY687qid-2KoLQd5x359wFqEg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCcMTZY1rFXO3Rj44D5VMyiw,Machinima,Sonic For Hire - Paperboy,https://www.youtube.com/watch?v=pLV7CP95DhU,24216
24,Entertainment,UCGRtuAmEObNSmlOLDWzZfVg,México,14662894,40443,,https://yt3.ggpht.com/a-/AN66SAyyKUaHnZ1fKG58w-ir8qkvLwQ-qCjtmW5G=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCGRtuAmEObNSmlOLDWzZfVg,CaELiKe,QUE YOUTUBER ME GUSTARIA BESAR? / TAG DEL BESO,https://www.youtube.com/watch?v=0YrsNhSItBY,459
24,Entertainment,UC4PooiX37Pld1T8J5SYT-SQ,United States,14566058,39708,,https://yt3.ggpht.com/a-/AN66SAxg3VeE91fAKHS9810ftQw3VgMbnN7rzG9mhw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,Blind Chicken Wing Taste Test,https://www.youtube.com/watch?v=MBPdKxlazD0,2124
